query,query_camera,rank,score,match,match_camera
"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_17",NEagleville_Hillside_2026-04-06_Eastbound,2,0.861297,"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_7",NEagleville_Hillside_2026-04-06_Northbound
"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_17",NEagleville_Hillside_2026-04-06_Eastbound,3,0.846454,"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_4",NEagleville_Hillside_2026-04-06_Northbound
"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_17",NEagleville_Hillside_2026-04-06_Eastbound,4,0.836976,"NEagleville_Hillside_2026-04-06_SECorner_Public Safety Fire SE Corner - Camera - 02_trim_00h00m00s-00h00m30s_45",NEagleville_Hillside_2026-04-06_SECorner
"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_17",NEagleville_Hillside_2026-04-06_Eastbound,5,0.836758,"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_46",NEagleville_Hillside_2026-04-06_Northbound
"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_2",NEagleville_Hillside_2026-04-06_Eastbound,1,0.916198,"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_7",NEagleville_Hillside_2026-04-06_Northbound
"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_2",NEagleville_Hillside_2026-04-06_Eastbound,2,0.905777,"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_1",NEagleville_Hillside_2026-04-06_Northbound
"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_2",NEagleville_Hillside_2026-04-06_Eastbound,3,0.902564,"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_2",NEagleville_Hillside_2026-04-06_Northbound
"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_2",NEagleville_Hillside_2026-04-06_Eastbound,4,0.899601,"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_53",NEagleville_Hillside_2026-04-06_Northbound
"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_2",NEagleville_Hillside_2026-04-06_Eastbound,5,0.892205,"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_46",NEagleville_Hillside_2026-04-06_Northbound
"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_24",NEagleville_Hillside_2026-04-06_Eastbound,1,0.811474,"NEagleville_Hillside_2026-04-06_SECorner_Public Safety Fire SE Corner - Camera - 02_trim_00h00m00s-00h00m30s_45",NEagleville_Hillside_2026-04-06_SECorner
"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_24",NEagleville_Hillside_2026-04-06_Eastbound,2,0.810968,"NEagleville_Hillside_2026-04-06_SECorner_Public Safety Fire SE Corner - Camera - 02_trim_00h00m00s-00h00m30s_37",NEagleville_Hillside_2026-04-06_SECorner
"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_24",NEagleville_Hillside_2026-04-06_Eastbound,3,0.809901,"NEagleville_Hillside_2026-04-06_SECorner_Public Safety Fire SE Corner - Camera - 02_trim_00h00m00s-00h00m30s_107",NEagleville_Hillside_2026-04-06_SECorner
"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_24",NEagleville_Hillside_2026-04-06_Eastbound,4,0.802068,"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_7",NEagleville_Hillside_2026-04-06_Northbound
"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_24",NEagleville_Hillside_2026-04-06_Eastbound,5,0.795698,"NEagleville_Hillside_2026-04-06_SECorner_Public Safety Fire SE Corner - Camera - 02_trim_00h00m00s-00h00m30s_113",NEagleville_Hillside_2026-04-06_SECorner
"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_3",NEagleville_Hillside_2026-04-06_Eastbound,1,0.926134,"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_7",NEagleville_Hillside_2026-04-06_Northbound
"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_3",NEagleville_Hillside_2026-04-06_Eastbound,2,0.925285,"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_2",NEagleville_Hillside_2026-04-06_Northbound
"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_3",NEagleville_Hillside_2026-04-06_Eastbound,3,0.914730,"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_1",NEagleville_Hillside_2026-04-06_Northbound
"NEagleville_Hillside_2026-04-06_Eastbound_0042 Road - Hillside @ N. Eagleville Eastbound_trim_00h00m00s-00h00m30s_3",NEagleville_Hillside_2026-04-06_Eastbound,4,0.890041,"NEagleville_Hillside_2026-04-06_Northbound_0043 Road - Hillside @ N. Eagleville Northbound_trim_00h00m00s-00h00m30s_46",NEagleville_Hillside_2026-04-06_Northbound
